57, https://leetcode.cn/problems/insert-interval/, 42.6, MEDIUM, array, 
1431, https://leetcode.cn/problems/kids-with-the-greatest-number-of-candies/, 84.5, EASY, array, 
39, https://leetcode.cn/problems/combination-sum/, 72.3, MEDIUM, array, backtracking, 
228, https://leetcode.cn/problems/summary-ranges/, 54.8, EASY, array, 
46, https://leetcode.cn/problems/permutations/, 78.9, MEDIUM, array, backtracking, 
216, https://leetcode.cn/problems/combination-sum-iii/, 71.1, MEDIUM, array, backtracking, 
1375, https://leetcode.cn/problems/number-of-times-binary-string-is-prefix-aligned/, 68.0, MEDIUM, array, 
51, https://leetcode.cn/problems/n-queens/, 73.9, HARD, array, backtracking, 
47, https://leetcode.cn/problems/permutations-ii/, 65.5, MEDIUM, array, backtracking, 
212, https://leetcode.cn/problems/word-search-ii/, 43.4, HARD, array, backtracking, matrix, string, trie, 
78, https://leetcode.cn/problems/subsets/, 81.1, MEDIUM, array, backtracking, bit-manipulation, 
33, https://leetcode.cn/problems/search-in-rotated-sorted-array/, 44.0, MEDIUM, array, binary-search, 
79, https://leetcode.cn/problems/word-search/, 46.4, MEDIUM, array, backtracking, matrix, 
34, https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/, 42.7, MEDIUM, array, binary-search, 
153, https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array/, 57.2, MEDIUM, array, binary-search, 
162, https://leetcode.cn/problems/find-peak-element/, 49.2, MEDIUM, array, binary-search, 
875, https://leetcode.cn/problems/koko-eating-bananas/, 49.4, MEDIUM, array, binary-search, 
268, https://leetcode.cn/problems/missing-number/, 66.6, EASY, array, binary-search, bit-manipulation, hash-table, math, sorting, 
704, https://leetcode.cn/problems/binary-search/, 54.8, EASY, array, binary-search, 
287, https://leetcode.cn/problems/find-the-duplicate-number/, 64.0, MEDIUM, array, binary-search, bit-manipulation, two-pointers, 
240, https://leetcode.cn/problems/search-a-2d-matrix-ii/, 53.2, MEDIUM, array, binary-search, divide-and-conquer, matrix, 
300, https://leetcode.cn/problems/longest-increasing-subsequence/, 55.2, MEDIUM, array, binary-search, dynamic-programming, 
2439, https://leetcode.cn/problems/minimize-maximum-of-array/, 40.3, MEDIUM, array, binary-search, dynamic-programming, greedy, prefix-sum, 
35, https://leetcode.cn/problems/search-insert-position/, 45.4, EASY, array, binary-search, 
349, https://leetcode.cn/problems/intersection-of-two-arrays/, 74.2, EASY, array, binary-search, hash-table, sorting, two-pointers, 
1268, https://leetcode.cn/problems/search-suggestions-system/, 60.1, MEDIUM, array, binary-search, heap-priority-queue, sorting, string, trie, 
74, https://leetcode.cn/problems/search-a-2d-matrix/, 49.1, MEDIUM, array, binary-search, matrix, 
209, https://leetcode.cn/problems/minimum-size-subarray-sum/, 46.4, MEDIUM, array, binary-search, prefix-sum, sliding-window, 
1004, https://leetcode.cn/problems/max-consecutive-ones-iii/, 59.3, MEDIUM, array, binary-search, prefix-sum, sliding-window, 
2300, https://leetcode.cn/problems/successful-pairs-of-spells-and-potions/, 44.5, MEDIUM, array, binary-search, sorting, two-pointers, 
108, https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/, 77.8, EASY, array, binary-search-tree, binary-tree, divide-and-conquer, tree, 
1110, https://leetcode.cn/problems/delete-nodes-and-return-forest/, 69.4, MEDIUM, array, binary-tree, depth-first-search, hash-table, tree, 
105, https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/, 71.1, MEDIUM, array, binary-tree, divide-and-conquer, hash-table, tree, 
106, https://leetcode.cn/problems/construct-binary-tree-from-inorder-and-postorder-traversal/, 71.7, MEDIUM, array, binary-tree, divide-and-conquer, hash-table, tree, 
136, https://leetcode.cn/problems/single-number/, 72.9, EASY, array, bit-manipulation, 
4, https://leetcode.cn/problems/median-of-two-sorted-arrays/, 41.8, HARD, array, binary-search, divide-and-conquer, 
1177, https://leetcode.cn/problems/can-make-palindrome-from-substring/, 42.2, MEDIUM, array, bit-manipulation, hash-table, prefix-sum, string, 
399, https://leetcode.cn/problems/evaluate-division/, 58.9, MEDIUM, array, breadth-first-search, depth-first-search, graph, shortest-path, union-find, 
137, https://leetcode.cn/problems/single-number-ii/, 72.3, MEDIUM, array, bit-manipulation, 
167, https://leetcode.cn/problems/two-sum-ii-input-array-is-sorted/, 59.9, MEDIUM, array, binary-search, two-pointers, 
130, https://leetcode.cn/problems/surrounded-regions/, 46.3, MEDIUM, array, breadth-first-search, depth-first-search, matrix, union-find, 
322, https://leetcode.cn/problems/coin-change/, 47.0, MEDIUM, array, breadth-first-search, dynamic-programming, 
200, https://leetcode.cn/problems/number-of-islands/, 59.8, MEDIUM, array, breadth-first-search, depth-first-search, matrix, union-find, 
417, https://leetcode.cn/problems/pacific-atlantic-water-flow/, 56.1, MEDIUM, array, breadth-first-search, depth-first-search, matrix, 
994, https://leetcode.cn/problems/rotting-oranges/, 51.2, MEDIUM, array, breadth-first-search, matrix, 
347, https://leetcode.cn/problems/top-k-frequent-elements/, 63.5, MEDIUM, array, bucket-sort, counting, divide-and-conquer, hash-table, heap-priority-queue, quickselect, sorting, 
909, https://leetcode.cn/problems/snakes-and-ladders/, 45.0, MEDIUM, array, breadth-first-search, matrix, 
1926, https://leetcode.cn/problems/nearest-exit-from-entrance-in-maze/, 39.8, MEDIUM, array, breadth-first-search, matrix, 
274, https://leetcode.cn/problems/h-index/, 46.3, MEDIUM, array, counting-sort, sorting, 
169, https://leetcode.cn/problems/majority-element/, 66.4, EASY, array, counting, divide-and-conquer, hash-table, sorting, 
1670, https://leetcode.cn/problems/design-front-middle-back-queue/, 60.7, MEDIUM, array, data-stream, design, linked-list, queue, 
2646, https://leetcode.cn/problems/minimize-the-total-price-of-the-trips/, 70.3, HARD, array, depth-first-search, dynamic-programming, graph, tree, 
2248, https://leetcode.cn/problems/intersection-of-multiple-arrays/, 67.0, EASY, array, counting, hash-table, 
380, https://leetcode.cn/problems/insert-delete-getrandom-o1/, 52.3, MEDIUM, array, design, hash-table, math, randomized, 
641, https://leetcode.cn/problems/design-circular-deque/, 56.8, MEDIUM, array, design, linked-list, queue, 
918, https://leetcode.cn/problems/maximum-sum-circular-subarray/, 40.7, MEDIUM, array, divide-and-conquer, dynamic-programming, monotonic-queue, queue, 
1381, https://leetcode.cn/problems/design-a-stack-with-increment-operation/, 72.2, MEDIUM, array, design, stack, 
53, https://leetcode.cn/problems/maximum-subarray/, 55.0, MEDIUM, array, divide-and-conquer, dynamic-programming, 
427, https://leetcode.cn/problems/construct-quad-tree/, 71.4, MEDIUM, array, divide-and-conquer, matrix, tree, 
118, https://leetcode.cn/problems/pascals-triangle/, 75.5, EASY, array, dynamic-programming, 
119, https://leetcode.cn/problems/pascals-triangle-ii/, 68.9, EASY, array, dynamic-programming, 
215, https://leetcode.cn/problems/kth-largest-element-in-an-array/, 62.3, MEDIUM, array, divide-and-conquer, heap-priority-queue, quickselect, sorting, 
123, https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii/, 59.9, HARD, array, dynamic-programming, 
121, https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/, 57.7, EASY, array, dynamic-programming, 
120, https://leetcode.cn/problems/triangle/, 68.6, MEDIUM, array, dynamic-programming, 
152, https://leetcode.cn/problems/maximum-product-subarray/, 43.1, MEDIUM, array, dynamic-programming, 
188, https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iv/, 48.2, HARD, array, dynamic-programming, 
746, https://leetcode.cn/problems/min-cost-climbing-stairs/, 65.3, EASY, array, dynamic-programming, 
416, https://leetcode.cn/problems/partition-equal-subset-sum/, 52.2, MEDIUM, array, dynamic-programming, 
1911, https://leetcode.cn/problems/maximum-alternating-subsequence-sum/, 67.5, MEDIUM, array, dynamic-programming, 
198, https://leetcode.cn/problems/house-robber/, 54.7, MEDIUM, array, dynamic-programming, 
45, https://leetcode.cn/problems/jump-game-ii/, 44.7, MEDIUM, array, dynamic-programming, greedy, 
122, https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/, 72.8, MEDIUM, array, dynamic-programming, greedy, 
714, https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/, 76.1, MEDIUM, array, dynamic-programming, greedy, 
1130, https://leetcode.cn/problems/minimum-cost-tree-from-leaf-values/, 70.7, MEDIUM, array, dynamic-programming, greedy, monotonic-stack, stack, 
55, https://leetcode.cn/problems/jump-game/, 43.3, MEDIUM, array, dynamic-programming, greedy, 
1218, https://leetcode.cn/problems/longest-arithmetic-subsequence-of-given-difference/, 51.1, MEDIUM, array, dynamic-programming, hash-table, 
139, https://leetcode.cn/problems/word-break/, 54.6, MEDIUM, array, dynamic-programming, hash-table, memoization, string, trie, 
63, https://leetcode.cn/problems/unique-paths-ii/, 41.1, MEDIUM, array, dynamic-programming, matrix, 
64, https://leetcode.cn/problems/minimum-path-sum/, 69.8, MEDIUM, array, dynamic-programming, matrix, 
221, https://leetcode.cn/problems/maximal-square/, 49.9, MEDIUM, array, dynamic-programming, matrix, 
931, https://leetcode.cn/problems/minimum-falling-path-sum/, 67.5, MEDIUM, array, dynamic-programming, matrix, 
85, https://leetcode.cn/problems/maximal-rectangle/, 54.9, HARD, array, dynamic-programming, matrix, monotonic-stack, stack, 
907, https://leetcode.cn/problems/sum-of-subarray-minimums/, 39.4, MEDIUM, array, dynamic-programming, monotonic-stack, stack, 
42, https://leetcode.cn/problems/trapping-rain-water/, 63.1, HARD, array, dynamic-programming, monotonic-stack, stack, two-pointers, 
1493, https://leetcode.cn/problems/longest-subarray-of-1s-after-deleting-one-element/, 61.8, MEDIUM, array, dynamic-programming, sliding-window, 
1547, https://leetcode.cn/problems/minimum-cost-to-cut-a-stick/, 57.1, HARD, array, dynamic-programming, sorting, 
2951, https://leetcode.cn/problems/find-the-peaks/, 78.7, EASY, array, enumeration, 
435, https://leetcode.cn/problems/non-overlapping-intervals/, 51.2, MEDIUM, array, dynamic-programming, greedy, sorting, 
2249, https://leetcode.cn/problems/count-lattice-points-inside-a-circle/, 53.8, MEDIUM, array, enumeration, geometry, hash-table, math, 
