2, https://leetcode.cn/problems/add-two-numbers/, 42.9, MEDIUM, recursion, linked-list, math, 
3, https://leetcode.cn/problems/longest-substring-without-repeating-characters/, 39.3, MEDIUM, hash-table, string, sliding-window, 
4, https://leetcode.cn/problems/median-of-two-sorted-arrays/, 41.8, HARD, array, binary-search, divide-and-conquer, 
5, https://leetcode.cn/problems/longest-palindromic-substring/, 37.9, MEDIUM, string, dynamic-programming, 
8, https://leetcode.cn/problems/string-to-integer-atoi/, 21.1, MEDIUM, string, 
6, https://leetcode.cn/problems/zigzag-conversion/, 52.3, MEDIUM, string, 
7, https://leetcode.cn/problems/reverse-integer/, 35.4, MEDIUM, math, 
10, https://leetcode.cn/problems/regular-expression-matching/, 30.6, HARD, recursion, string, dynamic-programming, 
11, https://leetcode.cn/problems/container-with-most-water/, 60.0, MEDIUM, greedy, array, two-pointers, 
1, https://leetcode.cn/problems/two-sum/, 53.0, EASY, array, hash-table, 
9, https://leetcode.cn/problems/palindrome-number/, 55.8, EASY, math, 
14, https://leetcode.cn/problems/longest-common-prefix/, 43.6, EASY, trie, string, 
13, https://leetcode.cn/problems/roman-to-integer/, 62.2, EASY, hash-table, math, string, 
16, https://leetcode.cn/problems/3sum-closest/, 44.8, MEDIUM, array, two-pointers, sorting, 
17, https://leetcode.cn/problems/letter-combinations-of-a-phone-number/, 58.7, MEDIUM, hash-table, string, backtracking, 
15, https://leetcode.cn/problems/3sum/, 37.5, MEDIUM, array, two-pointers, sorting, 
12, https://leetcode.cn/problems/integer-to-roman/, 66.5, MEDIUM, hash-table, math, string, 
19, https://leetcode.cn/problems/remove-nth-node-from-end-of-list/, 46.6, MEDIUM, linked-list, two-pointers, 
21, https://leetcode.cn/problems/merge-two-sorted-lists/, 66.1, EASY, recursion, linked-list, 
18, https://leetcode.cn/problems/4sum/, 36.6, MEDIUM, array, two-pointers, sorting, 
22, https://leetcode.cn/problems/generate-parentheses/, 77.5, MEDIUM, string, dynamic-programming, backtracking, 
23, https://leetcode.cn/problems/merge-k-sorted-lists/, 58.7, HARD, linked-list, divide-and-conquer, heap-priority-queue, merge-sort, 
24, https://leetcode.cn/problems/swap-nodes-in-pairs/, 71.7, MEDIUM, recursion, linked-list, 
25, https://leetcode.cn/problems/reverse-nodes-in-k-group/, 67.7, HARD, recursion, linked-list, 
26, https://leetcode.cn/problems/remove-duplicates-from-sorted-array/, 55.4, EASY, array, two-pointers, 
